,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
0,1875,17820,The Three Jolly Wheelers,"""735 Chigwell Road, Woodford Green, Chigwell, Essex""",IG8 8AS,542653,192011.0,51.608869,0.058699,Redbridge,51.608869,0.058699,214,1.3722382368641244,16.33616948647767,16.33616948647767
1,8950,85383,Aria Bar,"""31 Longbridge Road, Barking""",IG11 8TN,544481,184425.0,51.54024,0.081962,Barking and Dagenham,51.540240000000004,0.08196200000000001,15,0.09745181021936684,1.160140597849605,1.160140597849605
2,8951,85412,Barking Arms Ltd,"""25-27 Station Parade, Barking""",IG11 8TU,544404,184344.0,51.539531,0.080819,Barking and Dagenham,51.539531,0.080819,15,0.014686824225012288,0.17484314553586056,0.17484314553586056
3,8952,85420,Barking football Club,"""Barking Football Club, Lodge Avenue, Dagenham""",RM8 2JR,546614,185058.0,51.545377,0.11296,Barking and Dagenham,51.545377,0.11295999999999999,268,1.106634140866367,13.174215962694843,13.174215962694843
4,8953,85423,Barking Indoor Bowls Club Ltd,"""Indoor Bowls Hall, Barking Prk, Longbridge Road, Barking""",IG11 8TA,544692,184653.0,51.542225,0.085096,Barking and Dagenham,51.542225,0.085096,15,0.4068722204271135,4.843716909846589,4.843716909846589
5,8954,85429,Barking Rugby Union Football Club,"""Gale Street, Dagenham""",RM9 4TX,547647,183924.0,51.53492,0.127357,Barking and Dagenham,51.53492,0.127357,21,0.5989260007565972,7.130071437578538,7.130071437578538
6,8955,85436,Barking United Services Club,"""79 Blake Avenue, Barking""",IG11 9SF,545650,183656.0,51.53303,0.098489,Barking and Dagenham,51.53303,0.098489,268,0.6408962078382427,7.62971675997908,7.62971675997908
7,8956,85440,Beacon Tree,"""Beacon Tree, 945 Green Lane, Dagenham""",RM8 1DJ,548489,186902.0,51.561457,0.140758,Barking and Dagenham,51.561457,0.140758,67,2.238249946427787,26.645832695568892,26.645832695568892
8,8957,85519,Chadwell Heath Cricket Club,"""St Chads Park, West Road, Chadwell Heath""",RM6 6YA,547980,188485.0,51.575822,0.134086,Barking and Dagenham,51.575821999999995,0.13408599999999998,173,3.05455030049213,36.36369405347774,36.36369405347774
9,8958,85589,Dagenham Bowling,"""Dagenham Leisure Park, Cook Road, Dagenham""",RM9 6UQ,548237,183680.0,51.532573,0.135769,Barking and Dagenham,51.532573,0.135769,21,1.052035040192938,12.524226668963546,12.524226668963546
10,8959,85590,Dagenham Conservative & Social Club,"""8-12 Salisbury Road, Dagenham""",RM10 8TT,549853,184562.0,51.540071,0.159424,Barking and Dagenham,51.540071000000005,0.159424,66,0.6308261714736777,7.509835374686639,7.509835374686639
11,8960,85599,Dagenham Trades Hall,"""Dagenham Trades Hall, Charlotte Road, Dagenham""",RM10 8TD,549728,184662.0,51.541003,0.157666,Barking and Dagenham,51.541003,0.157666,66,0.654355587866489,7.789947474601059,7.789947474601059
12,8961,85611,Deuce Lounge,"""20-22 London Road, Barking""",IG11 8AG,544217,184197.0,51.538258,0.078064,Barking and Dagenham,51.538258,0.078064,15,0.25207135227666844,3.0008494318651002,3.0008494318651002
13,8962,85628,Eastbrook Hotel,"""Eastbrook Hotel, Dagenham Road, Dagenham""",RM10 7UP,550158,185947.0,51.552425,0.164409,Barking and Dagenham,51.552425,0.164409,66,0.9068875278713792,10.796280093706894,10.796280093706894
14,8963,85828,Kings Lounge,"""2 Linton Road, Barking""",IG11 8HG,544261,184275.0,51.538948,0.07873,Barking and Dagenham,51.538948,0.07873,15,0.17298073079233994,2.059294414194523,2.059294414194523
15,8964,85870,Lord Denman PH,"""Lord Denman Ph, 270-272 Heathway, Dagenham""",RM10 8QS,549064,184737.0,51.541852,0.14813,Barking and Dagenham,51.541852,0.14812999999999998,67,0.08675321835617307,1.0327764090020604,1.0327764090020604
16,8965,85921,ME 'N' O'Briens,"""26-28 Goresbrook Road, Dagenham""",RM9 6UR,549009,183667.0,51.532252,0.146884,Barking and Dagenham,51.532252,0.146884,67,1.0509000473754517,12.510714849707758,12.510714849707758
17,8966,85922,Mecca Bingo Club,"""Cook Road, Dagenham""",RM9 6UQ,548237,183680.0,51.532573,0.135769,Barking and Dagenham,51.532573,0.135769,21,1.052035040192938,12.524226668963546,12.524226668963546
18,8967,86102,RoundHouse,"""The Roundhouse, Lodge Avenue, Dagenham""",RM8 2HY,546662,184766.0,51.542741,0.113515,Barking and Dagenham,51.542741,0.113515,268,0.9617549415888943,11.44946359034398,11.44946359034398
19,8968,86104,Royal British Legion Club,"""541 Becontree Avenue, Dagenham""",RM8 3JP,548209,186645.0,51.559221,0.136613,Barking and Dagenham,51.559221,0.136613,67,2.0746776402703735,24.698543336552063,24.698543336552063
20,8969,86105,Royal British Legion Dagenham Club,"""Rectory Road, Dagenham""",RM10 9SA,549487,184443.0,51.539099,0.1541,Barking and Dagenham,51.539099,0.1541,67,0.5760251425338798,6.8574421730223785,6.8574421730223785
21,8970,86131,Scrattons Community Association Ltd,"""Scrattons Community Association Ltd, Morrison Road, Barking""",IG11 0UA,548021,183437.0,51.530436,0.132554,Barking and Dagenham,51.530436,0.132554,21,1.1625187493054536,13.839508920303018,13.839508920303018
22,8971,86233,Thatched House,"""The Thatched House Ph, Ripple Road, Barking""",IG11 9PG,546139,183715.0,51.533425,0.105558,Barking and Dagenham,51.533425,0.105558,268,0.6335703403823764,7.542504052171147,7.542504052171147
